ID,Name,Age,Club,Position,Wage,IR,Value,PAC,SHO,PAS,DRI,DEF,PHY
194082,Flavio Paixão,35,Lechia Gdańsk,ST,5000,1,475000,68,68,65,70,34,69
194122,W. Grigg,28,Sunderland,ST,4000,2,550000,69,67,48,64,32,66
194138,A. Gray,29,Watford,ST,19000,1,5500000,85,74,62,72,30,72
194209,Y. El Arabi,33,Olympiacos CFP,ST,500,2,6500000,71,81,67,78,37,70
194319,D. Ward,29,Huddersfield Town,ST,13000,1,900000,68,69,62,67,35,68
194728,I. Belfodil,28,TSG 1899 Hoffenheim,ST,39000,2,9000000,69,77,69,78,36,75
194879,Sergi Enrich,30,SD Eibar,ST,31000,2,8500000,57,76,70,74,43,77
194925,L. Moult,28,Preston North End,ST,11000,1,800000,65,68,50,63,39,69
194963,André,29,Gazişehir Gaziantep F.K.,ST,13000,2,3100000,74,71,61,71,28,65
194996,Borja Bastón,27,CD Leganés,ST,12000,2,4300000,48,75,61,65,41,75
195036,S. Winnall,29,Oxford United,ST,4000,1,650000,69,67,48,65,23,60
195093,Willian José,28,Real Sociedad,ST,40000,2,15500000,67,80,67,74,40,82
195262,A. Grimaldi,29,KFC Uerdingen 05,ST,2000,1,375000,58,63,53,59,29,72
195427,J. Stockley,26,Preston North End,ST,8000,1,650000,62,63,43,61,32,78
195481,J. Proctor,28,Rotherham United,ST,8000,1,250000,66,60,54,60,31,70
195586,A. Finnbogason,31,FC Augsburg,ST,29000,2,7000000,61,81,62,74,33,67
195912,Suk Hyun Jun,29,ESTAC Troyes,ST,6000,2,1800000,59,72,57,68,39,78
196073,E. Paredes,39,Colo-Colo,ST,6000,2,1200000,59,76,66,72,34,71
196144,J. Martínez,33,Portimonense SC,ST,7000,3,2000000,67,72,62,70,31,72
196150,T. Gutiérrez,35,Junior FC,ST,4000,2,2600000,54,74,72,77,28,71
196848,I. Ávila,29,Melgar FBC,ST,500,1,550000,66,68,47,66,33,57
196910,G. Álvarez,28,Bolivia,ST,500,1,550000,65,68,43,55,25,71
196932,Y. Sanogo,26,Toulouse Football Club,ST,22000,1,3400000,64,70,61,66,32,68
197031,M. Ducksch,26,Hannover 96,ST,21000,1,3900000,67,73,60,67,34,68
197136,K. Ansarifard,30,AEK Athens,ST,500,1,2300000,74,71,56,71,42,67
197231,K. Babacar,27,Alanyaspor,ST,12000,2,3600000,66,72,55,71,35,68
197238,I. Baldé,30,Real Oviedo,ST,6000,1,1000000,58,71,59,60,26,75
197480,I. Saadi,28,RC Strasbourg Alsace,ST,11000,1,800000,63,68,53,65,22,72
197774,C. McAleny,27,Oldham Athletic,ST,3000,1,325000,74,62,58,66,24,48
197907,M. Sansores,29,Mazatlán FC,ST,4000,1,550000,65,66,53,63,35,58
197930,J. Parker,29,Wycombe Wanderers,ST,3000,1,250000,86,54,55,61,33,64
197932,K. Appiah,28,AFC Wimbledon,ST,2000,1,325000,77,60,50,63,34,66
197936,Cubillas,30,C.D. Castellón,ST,3000,1,625000,63,64,49,62,27,65
197941,K. Igboananike,31,IK Sirius,ST,1000,1,400000,89,63,48,67,29,63
197945,R. Bowman,28,Exeter City,ST,3000,1,375000,68,62,47,60,31,80
197971,D. Alibec,29,Romania,ST,10000,1,3100000,70,74,67,71,46,81
197981,S. Makienok,29,FC St. Pauli,ST,6000,1,650000,35,67,49,59,31,77
198011,T. Eaves,28,Hull City,ST,4000,1,800000,53,68,46,59,37,79
198109,C. Anene,27,FC Midtjylland,ST,5000,1,350000,67,58,51,60,29,68
198150,Guerrero,29,Nottingham Forest,ST,38000,1,3100000,69,72,66,70,42,68
198175,L. Castaignos,26,Gyeongnam FC,ST,3000,2,900000,71,65,61,66,32,69
198195,P. Slišković,29,Türkgücü München,ST,1000,1,210000,66,59,42,52,33,76
198196,P. Lasogga,26,Hamburger SV,ST,15000,2,4800000,48,77,46,60,39,79
198213,Leandro Damião,30,Kawasaki Frontale,ST,12000,2,3900000,56,74,59,69,35,77
198347,F. Jara,31,FC Dallas,ST,9000,1,6000000,76,75,67,74,30,70
198428,J. Zoua,27,FC Viitorul,ST,4000,2,675000,71,63,57,67,33,76
198429,S. Tecl,29,SK Slavia Praha,ST,500,1,3100000,79,67,62,72,36,76
198437,T. Bradshaw,27,Millwall,ST,8000,1,1100000,78,68,49,68,30,70
198554,A. Ujah,29,1. FC Union Berlin,ST,21000,2,2400000,66,71,55,69,33,71
198631,Rodri,30,Real Oviedo,ST,5000,1,875000,77,69,55,70,22,67
198641,K. Zohore,26,West Bromwich Albion,ST,42000,1,2200000,65,70,48,64,26,78
198683,M. Gabbiadini,28,Sampdoria,ST,21000,2,7000000,67,79,71,75,26,62
198715,Sergio León,31,Levante UD,ST,23000,2,5000000,75,76,63,75,43,66
198846,J. Amione,27,Lobos BUAP,ST,7000,1,950000,71,67,58,68,23,75
198874,Adriano,32,FC Seoul,ST,3000,2,425000,71,64,53,63,33,52
198951,C. Bakambu,29,Beijing Sinobo Guoan FC,ST,30000,2,15000000,90,80,72,77,36,77
199047,D. Corcoran,31,Bohemian FC,ST,750,1,230000,43,62,53,57,28,68
199074,L. Traoré,28,CFR Cluj,ST,7000,2,1100000,41,71,51,62,37,70
199090,Ricardo Bueno,27,Seongnam FC,ST,7000,1,550000,72,62,55,67,32,56
199274,I. Nestorovski,30,Udinese,ST,16000,1,3900000,68,74,53,71,35,75
199354,Lucas Pérez,31,Deportivo Alavés,ST,32000,2,11500000,77,82,75,78,32,69
199510,N. Proschwitz,33,Eintracht Braunschweig,ST,4000,1,275000,41,66,52,55,28,78
199559,R. Inglese,28,Parma,ST,31000,2,6000000,51,75,49,67,27,66
199563,B. Balaj,29,SK Sturm Graz,ST,12000,1,1100000,68,68,49,65,26,69
199572,C. Deac,34,Romania,RW,13000,1,1600000,71,70,72,73,59,74
199602,J. Guidetti,28,Deportivo Alavés,ST,23000,2,6000000,60,76,67,72,41,72
199636,M. Guezoui,31,FC Chambly Oise,ST,1000,1,325000,41,63,47,59,28,74
199852,N. Jørgensen,29,Feyenoord,ST,15000,2,5500000,67,75,70,71,38,74
199908,F. Brown Forbes,28,Raków Częstochowa,ST,2000,1,550000,79,58,55,63,44,79
200197,N. Blandi,30,Colo-Colo,ST,8000,1,3900000,62,74,59,67,38,69
200207,C. Martínez Borja,32,LDU Quito,ST,500,1,350000,62,68,55,62,32,74
200235,M. te Vrede,28,Al Fateh,ST,11000,1,800000,41,69,45,54,30,78
200260,S. Berghuis,28,Feyenoord,RW,23000,2,18000000,80,80,83,82,36,64
200283,M. Sutter,29,FC Vaduz,ST,3000,1,450000,76,63,57,64,40,62
200305,M. Bangura,25,AIK,ST,15000,1,1300000,73,69,64,72,28,70
200346,M. Żyro,27,Piast Gliwice,ST,3000,1,575000,69,65,61,68,39,65
200433,L. Hinterseer,29,Hamburger SV,ST,13000,2,3100000,63,73,64,69,43,74
200446,Camilo,31,Mazatlán FC,ST,12000,1,2800000,77,73,67,76,34,66
200488,M. Mitrović,25,SønderjyskE,ST,3000,1,90000,54,52,43,61,31,70
200529,N. Chadli,30,Medipol Başakşehir FK,LW,43000,2,10000000,76,76,76,79,56,77
200779,J. Clarke-Harris,25,Peterborough United,ST,6000,1,1100000,77,70,50,62,27,77
200826,M. Quiroga,30,Atlético de San Luis,ST,18000,1,6500000,67,73,50,67,29,79
200845,P. Hoban,28,Dundalk,ST,2000,1,800000,65,67,56,61,39,75
200875,E. Gigliotti,33,Club León,ST,19000,1,2000000,55,73,59,68,45,78
200922,S. Schipplock,31,DSC Arminia Bielefeld,ST,8000,2,575000,68,64,57,62,39,75
200984,Rafael Martins,28,Vitória Guimarães,ST,15000,1,6000000,72,76,60,69,28,74
201013,L. Teodorczyk,29,Udinese,ST,14000,2,3100000,60,72,59,66,32,74
201105,J. Cassidy,26,Stevenage,ST,2000,1,250000,66,57,53,58,36,72
201145,M. Le Bihan,30,AJ Auxerre,ST,5000,1,1700000,52,70,58,70,45,70
201265,N. Helenius,29,Aarhus GF,ST,5000,1,650000,63,66,53,62,35,65
201266,K. Kusk,28,Aalborg BK,RW,12000,1,2400000,77,67,68,72,38,64
201283,E. Montaño,29,Independiente del Valle,ST,500,1,550000,69,66,50,61,33,63
201285,C. Gytkjær,30,AC Monza,ST,5000,1,3900000,71,73,57,69,33,74
201335,F. Santander,29,Bologna,ST,25000,1,3100000,66,72,63,68,32,78
201346,L. Boyce,29,Northern Ireland,ST,0,1,0,66,67,55,66,33,75
201549,N. Nikolić,32,Hungary,ST,0,2,0,65,72,60,68,31,70
201911,W. Keane,26,Ipswich Town,ST,5000,1,775000,63,65,56,66,39,64
201921,N. Ajose,28,Exeter City,ST,3000,1,325000,72,62,53,63,35,59
201924,Y. Qasmi,29,Rayo Vallecano,ST,3000,1,550000,56,66,48,60,30,69
201943,A. Cornelius,27,Parma,ST,32000,2,8000000,61,75,58,67,39,81
201966,A. Søderlund,32,BK Häcken,ST,4000,1,1400000,63,70,55,63,42,79
201978,P. Parzyszek,26,Piast Gliwice,ST,4000,1,1100000,61,66,53,62,39,69
202052,B. Afobe,27,Trabzonspor,ST,18000,1,2100000,76,70,59,67,29,69
202104,D. Biton,25,AD Alcorcón,ST,3000,1,675000,65,70,51,62,30,62
202180,L. McAlinden,26,Morecambe,ST,2000,1,250000,73,59,45,58,20,62
202428,B. Wood,27,Hamburger SV,ST,6000,1,900000,75,69,57,68,27,68
202456,J. Verhoek,31,FC Hansa Rostock,ST,2000,1,400000,59,64,50,60,24,74
202517,A. Vellios,26,Waasland-Beveren,ST,5000,1,775000,50,66,56,59,36,68
202526,S. May,27,St. Johnstone FC,ST,2000,1,625000,69,64,60,66,29,69
202539,L. Griffiths,29,Celtic,ST,39000,1,3100000,76,75,63,71,24,68
202619,P. McCallum,22,Leyton Orient,ST,4000,1,375000,68,61,47,56,24,68
202686,N. Wells,30,Bristol City,ST,33000,1,3000000,75,72,63,71,44,63
202769,B. Stokke,29,Vålerenga Fotball,ST,1000,1,250000,51,62,51,57,36,76
202896,M. Ureña,30,GwangJu FC,ST,2000,1,625000,80,63,59,70,37,66
202905,C. Nyman,27,IFK Norrköping,ST,5000,1,2100000,84,68,58,67,34,81
202925,C. Kouakou,25,IFK Göteborg,ST,950,1,275000,76,58,42,61,24,58
203051,D. Castellanos,19,Jaguares de Chiapas,ST,2000,1,60000,62,47,45,50,40,57
203280,V. Germain,30,Olympique de Marseille,ST,34000,2,5500000,71,75,73,74,38,67
203287,E. Harrison,26,Portsmouth,ST,4000,1,650000,80,62,52,64,41,81
203304,B. Assombalonga,27,Middlesbrough,ST,11000,1,2100000,75,69,57,66,38,71
203327,A. Galabinov,31,Spezia,ST,500,1,575000,36,70,57,58,21,76
203416,L. Norris,27,Colchester United,ST,4000,1,425000,61,64,47,57,27,71
203447,A. Schalk,27,Servette FC,ST,5000,1,575000,81,65,48,69,30,64
203500,D. Rose,26,Mansfield Town,ST,5000,1,450000,78,62,53,64,44,67
203613,Gilberto,28,Yeni Malatyaspor,ST,10000,1,3200000,68,73,62,68,28,71
203668,A. Donnarumma,29,Brescia,ST,32000,1,4000000,81,74,59,72,36,60
203699,G. Courtet,31,AC Ajaccio,ST,5000,1,1600000,66,74,64,66,26,72
203736,S. Bahoken,28,Angers SCO,ST,21000,1,4099999,77,72,57,71,24,72
203756,M. Smith,31,Millwall,ST,8000,1,950000,44,68,49,50,39,80
203757,Zé Luís,29,FC Porto,ST,16000,1,9000000,80,75,59,75,33,80
203774,Welthon,28,Vitória Guimarães,ST,6000,1,1100000,68,70,64,70,27,72
203793,A. Jóhannsson,29,Hammarby IF,ST,4000,2,1100000,68,69,62,70,36,60
204099,Amido Baldé,26,Clube Sport Marítimo,ST,4000,1,650000,51,63,52,59,30,74
204104,U. Đerić,27,Gyeongnam FC,ST,6000,1,2500000,53,72,48,63,29,78
204217,C. Wyke,27,Sunderland,ST,4000,1,475000,60,62,45,61,28,75
204226,D. Lezcano,30,Paraguay,ST,14000,1,5500000,80,74,68,73,45,81
204276,T. Hemed,32,Charlton Athletic,ST,8000,1,725000,45,70,52,65,35,69
204316,Pak Kwang Ryong,26,SKN St. Pölten,ST,6000,1,775000,67,65,56,59,43,76
204385,S. García,29,Godoy Cruz,ST,13000,1,7500000,66,79,63,71,27,81
204538,R. Ruidíaz,29,Seattle Sounders FC,ST,11000,1,9000000,84,79,66,77,32,62
204682,Rafael Lopes,28,Legia Warszawa,ST,7000,1,1100000,60,71,53,65,34,77
204690,P. Hosiner,31,SG Dynamo Dresden,ST,4000,1,675000,79,64,54,66,28,63
204785,M. Mandron,25,Crewe Alexandra,ST,3000,1,475000,62,60,53,63,45,77
204819,E. Sala,27,FC Nantes,ST,30000,2,13500000,59,79,64,73,62,84
204841,D. Riascos,33,Universidad Católica,ST,8000,1,1100000,78,66,57,68,39,76
204853,J. White,28,Motherwell,ST,2000,1,475000,65,65,48,58,28,68
204915,K. Guthrie,27,Bradford City,ST,4000,1,300000,68,61,51,62,41,67
204943,Luo Guofu,32,Guangzhou Evergrande Taobao FC,ST,24000,1,5500000,71,76,74,76,43,73
205078,D. Salazar,28,Querétaro,ST,2000,1,325000,65,64,47,54,23,62
205124,Edigar Junio,29,Yokohama F. Marinos,ST,10000,1,2400000,87,71,63,73,21,66
205188,R. Alioui,28,Angers SCO,ST,19000,1,3200000,68,74,62,68,33,69
205255,J. Reid,25,Mansfield Town,ST,4000,1,325000,78,61,49,61,21,67
205334,A. Koura,27,FC Lausanne-Sport,ST,3000,1,275000,78,61,50,61,19,60
205360,K. Roofe,27,Rangers FC,ST,38000,1,3600000,79,73,67,72,50,61
205431,N. Füllkrug,27,SV Werder Bremen,ST,29000,1,9000000,64,77,62,70,38,73
205443,S. Benyamina,30,VfB Lübeck,ST,950,1,300000,67,62,42,62,34,69
205465,M. Pušić,32,TSV 1860 München,ST,900,1,425000,64,65,58,63,41,74
205478,M. Krmenčík,27,Club Brugge KV,ST,22000,1,4700000,73,71,58,70,27,79
205495,A. Lozano,27,Cádiz CF,ST,17000,1,2100000,78,69,60,70,34,76
205557,B. Darri,25,Fatih Karagümrük S.K.,LW,6000,1,1100000,78,63,59,75,25,52
205559,N. Dicko,27,Vitesse,ST,10000,1,1100000,86,66,60,70,34,68
205586,I. Vassell,26,Cardiff City,ST,6000,1,450000,83,62,48,62,33,67
205681,K. Luckassen,26,FC Viitorul,ST,2000,1,300000,75,60,43,59,29,73
205711,O. Dramé,25,Os Belenenses,LW,5000,1,1900000,90,63,60,74,41,58
205850,L. Pavoletti,31,Cagliari,ST,32000,2,6000000,52,74,51,68,37,70
205864,A. Morgan,23,Sligo Rovers,ST,1000,1,425000,72,61,50,63,21,55
205876,F. Diarra,27,La Berrichonne de Châteauroux,ST,2000,1,675000,76,66,54,65,29,66
205963,D. Texeira,28,Moreirense FC,ST,7000,1,1100000,67,69,55,67,27,70
205985,I. Kiese Thelin,28,Malmö FF,ST,7000,1,2400000,59,69,61,65,37,82
206031,Jefté,26,FC Voluntari,ST,3000,1,775000,54,67,52,62,31,68
206104,S. Dursun,28,SV Darmstadt 98,ST,17000,1,3200000,64,72,53,69,31,73
206134,D. Cole,24,Doncaster Rovers,ST,3000,1,725000,90,63,50,64,25,59
206141,K. Coulibaly,28,FC Nantes,ST,18000,1,2400000,72,70,60,62,26,74
206263,T. Hopper,26,Lincoln City,ST,3000,1,475000,63,62,52,61,34,73
206408,T. Boyd,29,Hallescher FC,ST,2000,1,650000,47,69,43,58,28,76
206430,J. Pigott,26,AFC Wimbledon,ST,2000,1,550000,67,63,50,64,26,68
206435,A. Giannou,30,Australia,ST,0,1,0,66,71,55,66,28,74
206529,F. Boli,24,Stabæk Fotball,ST,3000,1,1400000,80,66,48,68,26,71
206550,B. Grobler,32,South Africa,ST,0,1,0,76,68,56,68,34,63
206606,P. Hofmann,27,Karlsruher SC,ST,10000,1,2500000,57,72,50,60,34,79
206626,M. Ishak,27,Lech Poznań,ST,7000,1,2100000,71,70,56,64,38,75
206630,D. Mattocks,28,FC Cincinnati,ST,4000,1,925000,90,65,55,66,26,68
207463,L. James,25,Barrow,ST,2000,1,190000,75,57,50,60,36,68
207499,T. Boere,27,Türkgücü München,ST,2000,1,750000,68,68,52,60,31,74
207507,L. James,27,Molde FK,ST,6000,1,2800000,71,70,53,71,29,74
207516,J. Świerczok,27,Piast Gliwice,ST,4000,1,1000000,73,67,47,68,26,69
207562,S. Andersson,28,1. FC Köln,ST,30000,1,8000000,63,76,54,69,31,77
207640,M. Yattara,25,AJ Auxerre,ST,4000,1,1300000,75,70,56,67,25,67
207664,C. Bacca,33,Villarreal CF,ST,34000,3,5500000,68,75,64,74,33,66
207677,E. Alfaro,32,Liverpool Fútbol Club,ST,500,1,350000,76,64,58,55,31,56
207732,Roger,29,Levante UD,ST,28000,2,9000000,77,80,61,75,41,71
207741,M. Lieder,30,Odense Boldklub,ST,5000,1,625000,70,63,50,67,23,74
207768,L. Caballero,30,Sportivo Luqueño,ST,500,1,300000,44,64,54,62,43,58
207828,C. Stockton,26,Morecambe,ST,2000,1,250000,63,60,49,56,32,61
207858,D. Dwyer,29,Orlando City SC,ST,4000,1,900000,71,69,51,67,29,72
207877,J. Martínez,27,Atlanta United,ST,14000,1,21000000,89,80,61,79,25,75
207950,A. Azeez,26,Newport County,ST,2000,1,100000,85,51,43,55,26,63
207994,A. Bosetti,23,OGC Nice,ST,15000,1,1400000,73,69,64,70,33,57
208017,I. Santini,31,Jiangsu Suning FC,ST,15000,1,2100000,42,76,53,58,40,85
208120,K. Przybyłko,27,Philadelphia Union,ST,5000,1,2100000,68,70,54,65,28,76
208129,S. Novothny,26,VfL Bochum 1848,ST,4000,1,450000,45,64,41,55,26,69
208153,L. Veldwijk,27,Jeonbuk Hyundai Motors,ST,5000,1,950000,54,68,51,59,31,73
208159,M. Frey,25,Fenerbahçe SK,ST,32000,1,2300000,63,70,56,64,30,84
208251,S. Longo,28,Inter,ST,33000,1,925000,72,68,56,68,37,73
208306,M. Stępiński,25,Hellas Verona,ST,17000,1,3100000,69,69,58,71,37,73
208374,A. Wooten,30,Philadelphia Union,ST,5000,1,1700000,71,70,64,68,34,73
208387,H. Gnohéré,32,Royal Excel Mouscron,ST,8000,1,1900000,66,72,57,64,36,83
208505,R. Zozulya,30,Albacete BP,ST,6000,1,1700000,76,68,58,64,44,81
208626,A. Said,27,Rio Ave FC,ST,4000,1,900000,70,66,49,66,23,63
208651,M. Beck,26,Harrogate Town,ST,2000,1,150000,58,57,47,55,38,72
208675,T. Watt,26,Motherwell,ST,3000,1,825000,73,67,48,68,25,72
208916,M. Al Sahlawi,33,Al Taawoun,ST,6000,2,275000,55,66,60,62,22,66
209062,P. Frick,28,IF Elfsborg,ST,2000,1,675000,73,64,57,59,36,82
209162,J. Correa,26,Alianza Petrolera,ST,2000,1,775000,70,62,43,62,32,78
209264,B. Finne,25,Vålerenga Fotball,LW,2000,1,800000,77,64,56,70,23,63
209269,F. Adarabioyo,22,NAC Breda,ST,3000,1,450000,71,60,58,57,37,77
209274,D. Rowe,30,Oldham Athletic,ST,3000,1,300000,64,63,51,59,30,70
209287,J. Dongou Tsafack,23,CD Lugo,ST,3000,1,925000,86,61,50,68,27,67
209439,A. Gyurcsó,27,Hungary,LW,0,1,0,89,67,65,71,33,61
209462,R. Bingham,25,Doncaster Rovers,ST,3000,1,325000,81,57,47,61,21,54
209519,G. Laborde,26,Montpellier HSC,ST,33000,1,9500000,70,75,69,74,34,79
209613,P. Iemmello,28,Benevento,ST,12000,1,1800000,79,70,59,70,22,65
209782,S. Larsson,27,Sweden,LW,16000,1,4200000,74,71,72,79,38,59
209959,A. Bajrovic,24,Sepsi OSK,ST,2000,1,350000,81,60,52,63,26,48
209973,J. Nsame,27,BSC Young Boys,ST,28000,1,12000000,79,78,55,72,27,79
210209,M. Asiri,33,Al Ahli,ST,9000,1,275000,53,66,55,63,23,64
210215,Alex Rubio,19,Sevilla FC,ST,3000,1,120000,66,56,38,55,29,55
210244,L. Angol,25,Leyton Orient,ST,3000,1,325000,81,60,55,61,30,67
210259,A. Hassan,27,Olympiacos CFP,ST,500,1,2800000,57,73,52,65,29,74
210314,I. Azemi,25,Holstein Kiel,ST,5000,1,550000,54,61,51,57,27,64
210315,De Tomás,25,RCD Espanyol,ST,12000,1,13000000,73,80,62,77,35,68
210330,A. Addai,26,Cheltenham Town,ST,2000,1,160000,83,57,45,61,26,59
210380,D. Diamantakos,26,FC St. Pauli,ST,10000,1,1300000,79,68,58,68,29,74
210438,F. Boulaya,27,FC Metz,RW,15000,1,3300000,73,65,69,78,25,52
210441,Fran Sol,28,Dynamo Kyiv,ST,500,1,4099999,68,74,56,67,34,68
210521,S. Çikalleshi,29,Atiker Konyaspor,ST,7000,1,750000,68,69,55,59,32,68
210556,Lucas João,26,Reading,ST,11000,1,2800000,69,70,55,70,26,73
210639,J. Morias,24,St. Mirren,ST,1000,1,350000,74,61,43,64,28,76
210703,L. Đorđević,25,Lokomotiv Moscow,ST,25000,1,2300000,78,68,62,70,32,60
210722,Júlio Tavares,31,Al Faisaly,ST,15000,1,3600000,55,73,56,69,30,82
210798,A. Kamara,26,Randers FC,ST,5000,1,800000,77,64,47,64,25,80
210947,N. Karelis,27,Brentford,ST,25000,1,1900000,73,70,62,71,35,68
211048,O. Kayode,27,Sivasspor,ST,15000,1,3600000,87,70,57,73,36,72
211095,N. Brock-Madsen,27,AC Horsens,ST,3000,1,425000,60,60,48,57,36,75
211143,J. Ironside,26,Cambridge United,ST,2000,1,250000,67,59,46,55,40,73
211173,S. Al Shehri,26,Al Hilal,ST,12000,1,825000,63,66,45,62,23,70
211176,R. Kishna,25,ADO Den Haag,LW,6000,2,2200000,71,64,65,76,33,46
211178,M. Rusike,30,Stabæk Fotball,ST,1000,1,425000,73,65,59,65,24,63
211211,Caye Quintana,26,Málaga CF,ST,5000,1,1100000,76,67,49,68,40,59
211302,G. Lapadula,30,Benevento,ST,13000,2,2300000,72,70,57,73,24,61
211321,M. Konaté,27,Amiens SC,ST,5000,1,2500000,75,69,55,71,23,65
211453,M. Mohsen,31,Egypt,ST,0,1,0,64,65,51,65,44,74
211461,Luiz Phellype,26,Sporting CP,ST,13000,1,6500000,55,78,59,69,30,82
211463,C. Lavery,27,Walsall,ST,4000,1,425000,75,62,56,63,36,65
211598,M. Arteaga,26,Zamora FC,ST,500,1,325000,53,60,49,64,28,61
211663,J. Blyth,26,Macclesfield Town,ST,2000,1,110000,50,57,44,52,34,67
211783,Bruno Mendes,25,Cerezo Osaka,ST,5000,1,1300000,65,70,58,68,22,67
211806,N. Hebisch,30,VfB Lübeck,ST,800,1,200000,63,63,41,53,21,62
211899,F. Niederlechner,29,FC Augsburg,ST,35000,1,10500000,78,78,64,74,35,79
212023,R. Berić,29,Chicago Fire,ST,10000,2,6500000,59,76,66,68,38,72
212107,A. Jahović,33,Antalyaspor,ST,17000,1,2500000,69,74,48,66,33,76
212167,C. Vernam,23,Burton Albion,LW,2000,1,525000,84,58,54,66,31,63
212174,D. Moyo,25,Hamilton Academical FC,ST,1000,1,275000,77,59,36,59,20,74
212228,I. Toney,24,Brentford,ST,19000,1,1500000,77,68,55,69,43,75
212232,J. Maclaren,26,Australia,ST,12000,1,4800000,80,72,60,71,37,74
212382,P. Onuachu,26,KRC Genk,ST,13000,1,3900000,69,68,60,68,44,80
212428,A. Niane,27,FC Sochaux-Montbéliard,ST,3000,1,1000000,69,69,50,68,19,64
212478,G. Zardes,28,Columbus Crew SC,ST,7000,1,3200000,84,70,52,69,47,77
212601,C. Malele,26,FC Argeș,ST,1000,1,250000,70,58,43,60,26,73
212614,Lucca,23,Criciúma,ST,3000,1,1000000,80,67,60,74,28,49
212618,F. Aristeguieta,28,Venezuela,ST,12000,1,3200000,52,74,55,67,42,84
212626,D. Selke,25,SV Werder Bremen,ST,23000,1,5000000,71,72,54,70,43,76
212683,J. Matt,30,Forest Green Rovers,ST,4000,1,200000,53,59,48,55,23,74
212716,R. Finley,23,Chivas USA,ST,4000,1,350000,76,62,46,59,28,69
212750,E. Hurtado,29,Sporting Kansas City,ST,2000,1,375000,84,64,52,60,33,65
212785,Vinícius Araújo,24,Real Zaragoza,ST,7000,1,1400000,73,64,56,69,29,63
212790,J. Thiaré,27,Le Havre AC,ST,4000,1,900000,81,65,54,69,22,63
212812,K. Kinoshita,25,Stabæk Fotball,ST,900,1,325000,62,60,48,61,24,71
212817,Lee Jeong Hyeop,29,Busan IPark,ST,4000,1,900000,64,66,47,63,36,76
212819,K. Nagai,31,FC Tokyo,ST,6000,1,950000,93,66,63,66,41,74
212878,N. Castillo,27,Club América,ST,28000,2,3600000,66,75,60,68,38,71
212909,M. Seaton,24,Viktoria Köln,ST,900,1,275000,84,55,42,61,27,62
212910,A. Gnanduillet,27,Blackpool,ST,5000,1,950000,72,68,46,61,36,82
212933,L. Depoitre,31,KAA Gent,ST,23000,1,6000000,56,76,62,64,43,83
212940,A. Anani,25,Grenoble Foot 38,ST,2000,1,600000,70,67,49,61,25,54
212943,M. Caballero,24,Unión Española,ST,4000,1,2400000,70,66,56,65,27,64
213061,M. Kanazaki,31,Nagoya Grampus,ST,4000,1,950000,78,68,64,69,35,73
213095,L. Cavallini,27,Vancouver Whitecaps FC,ST,8000,1,4300000,74,73,49,71,33,80
213107,G. Țucudean,28,CFR Cluj,ST,10000,1,2400000,54,74,56,65,40,73
213152,C. Morris,24,Milton Keynes Dons,ST,3000,1,650000,74,61,47,62,32,73
213305,R. Šimović,29,Odds BK,ST,2000,1,450000,57,63,55,58,25,68
213380,K. Fatai,30,Astra Giurgiu,ST,5000,2,725000,83,66,57,70,37,65
213418,C. Akpom,24,Middlesbrough,ST,15000,1,5500000,84,71,55,71,28,74
213432,F. Ferreyra,28,RCD Espanyol,ST,28000,1,7000000,65,74,59,74,31,68
213482,N. Kacharava,26,Lech Poznań,ST,4000,1,975000,60,62,46,66,29,76
213491,A. Jahn,29,Atlanta United,ST,2000,1,450000,47,62,46,62,31,80
213553,M. Ferrier,25,Tranmere Rovers,ST,2000,1,375000,85,60,49,63,24,75
213620,F. Mora,26,Portland Timbers,ST,8000,1,4800000,80,74,55,72,27,65
213634,M. Bonne,24,Charlton Athletic,ST,3000,1,750000,71,65,49,64,33,66
213743,Tiago Caeiro,34,Os Belenenses,ST,3000,1,275000,31,67,44,56,25,70
213815,M. Uhre,25,Brøndby IF,ST,6000,1,825000,87,63,47,65,33,72
213829,A. Cerri,24,Cagliari,ST,19000,1,3300000,56,72,54,68,39,74
213839,B. Guillaume,25,Valenciennes FC,ST,3000,1,1200000,55,65,56,68,31,67
213871,K. Junker,26,FK Bodø/Glimt,ST,3000,1,1300000,83,68,53,66,33,65
213900,R. Seager,22,Yeovil Town,ST,2000,1,425000,73,61,50,62,24,63
213949,K. Wriedt,25,Willem II,ST,7000,1,2300000,74,71,58,67,30,76
213997,O. Berrio,25,Atlético Nacional,RW,5000,1,2600000,88,69,65,69,26,76
214096,T. Kleindienst,24,KAA Gent,ST,15000,1,4099999,71,73,53,65,33,79
214350,M. Rangel,29,Junior FC,ST,5000,1,6500000,60,80,58,68,40,73
214615,J. Duque,33,Atlético Nacional,ST,2000,1,475000,67,67,55,67,26,69
214642,J. Astier,21,OGC Nice,ST,750,1,30000,68,51,40,53,25,50
214723,B. Rodríguez,31,Pachuca,ST,10000,1,800000,56,70,41,58,27,72
214835,R. Fernández,29,Al Fayha,ST,12000,1,1100000,68,71,63,67,25,68
214854,R. Farfán,28,Coquimbo Unido,RW,3000,1,1800000,91,60,62,71,34,60
214876,J. Marriott,25,Derby County,ST,14000,1,1300000,83,69,51,67,26,66
214895,J. Wróbel,26,Stal Mielec,ST,950,1,150000,69,56,52,59,54,54
